"plate_row","plate_col","dna_id","species","origin"
"A","1","30932-008","Oncorhynchus kisutch","California"
"B","1","30932-012","Oncorhynchus kisutch","California"
"C","1","30932-067","Oncorhynchus kisutch","California"
"D","1","30932-097","Oncorhynchus kisutch","California"
"E","1","30932-115","Oncorhynchus kisutch","California"
"F","1","erc072417",NA,NA
"G","1","34372-A7","Oncorhynchus tshawytscha","Oregon Coast"
"H","1","34372-B7","Oncorhynchus tshawytscha","Oregon Coast"
"A","2","34372-C7","Oncorhynchus tshawytscha","Oregon Coast"
"B","2","34372-D7","Oncorhynchus tshawytscha","Oregon Coast"
"C","2","34372-A8","Oncorhynchus tshawytscha","Oregon Coast"
"D","2","34372-B8","Oncorhynchus tshawytscha","Oregon Coast"
"E","2","34372-C8","Oncorhynchus tshawytscha","Oregon Coast"
"F","2","34372-D8","Oncorhynchus tshawytscha","Oregon Coast"
"G","2","34372-A1","Oncorhynchus tshawytscha","Oregon Coast"
"H","2","34372-B1","Oncorhynchus tshawytscha","Oregon Coast"
"A","3","34464-A4","Oncorhynchus tshawytscha","California Coast"
"B","3","34464-B4","Oncorhynchus tshawytscha","California Coast"
"C","3","34464-C4","Oncorhynchus tshawytscha","California Coast"
"D","3","34464-D4","Oncorhynchus tshawytscha","California Coast"
"E","3","34464-E8","Oncorhynchus tshawytscha","California Coast"
"F","3","34464-F8","Oncorhynchus tshawytscha","California Coast"
"G","3","34464-G8","Oncorhynchus tshawytscha","California Coast"
"H","3","34464-H8","Oncorhynchus tshawytscha","California Coast"
