"template_type","template_name","template_conc","template_rep","plate_row","plate_col","plate_well"
"standard","std_1",1,1,"A",1,"A1"
"standard","std_0.1",0.1,2,"B",1,"B1"
"standard","std_0.01",0.01,3,"C",1,"C1"
"standard","std_0.001",0.001,1,"D",1,"D1"
"standard","std_1e-04",1e-04,2,"E",1,"E1"
"standard","std_1e-05",1e-05,3,"F",1,"F1"
"standard","std_1e-06",1e-06,1,"G",1,"G1"
"standard","std_0",0,2,"H",1,"H1"
"standard","std_1",1,3,"A",2,"A2"
"standard","std_0.1",0.1,1,"B",2,"B2"
"standard","std_0.01",0.01,2,"C",2,"C2"
"standard","std_0.001",0.001,3,"D",2,"D2"
"standard","std_1e-04",1e-04,1,"E",2,"E2"
"standard","std_1e-05",1e-05,2,"F",2,"F2"
"standard","std_1e-06",1e-06,3,"G",2,"G2"
"standard","std_0",0,1,"H",2,"H2"
"standard","std_1",1,2,"A",3,"A3"
"standard","std_0.1",0.1,3,"B",3,"B3"
"standard","std_0.01",0.01,1,"C",3,"C3"
"standard","std_0.001",0.001,2,"D",3,"D3"
"standard","std_1e-04",1e-04,3,"E",3,"E3"
"standard","std_1e-05",1e-05,1,"F",3,"F3"
"standard","std_1e-06",1e-06,2,"G",3,"G3"
"standard","std_0",0,3,"H",3,"H3"
"sample","SKA-001",NA,1,"A",4,"A4"
"sample","SKA-002",NA,2,"B",4,"B4"
"sample","SKA-003",NA,3,"C",4,"C4"
"sample","SKA-004",NA,1,"D",4,"D4"
"sample","SKA-025",NA,2,"E",4,"E4"
"sample","SKA-026",NA,3,"F",4,"F4"
"sample","SKA-027",NA,1,"G",4,"G4"
"sample","SKA-028",NA,2,"H",4,"H4"
"sample","SKA-001",NA,3,"A",5,"A5"
"sample","SKA-002",NA,1,"B",5,"B5"
"sample","SKA-003",NA,2,"C",5,"C5"
"sample","SKA-004",NA,3,"D",5,"D5"
"sample","SKA-025",NA,1,"E",5,"E5"
"sample","SKA-026",NA,2,"F",5,"F5"
"sample","SKA-027",NA,3,"G",5,"G5"
"sample","SKA-028",NA,1,"H",5,"H5"
"sample","SKA-001",NA,2,"A",6,"A6"
"sample","SKA-002",NA,3,"B",6,"B6"
"sample","SKA-003",NA,1,"C",6,"C6"
"sample","SKA-004",NA,2,"D",6,"D6"
"sample","SKA-025",NA,3,"E",6,"E6"
"sample","SKA-026",NA,1,"F",6,"F6"
"sample","SKA-027",NA,2,"G",6,"G6"
"sample","SKA-028",NA,3,"H",6,"H6"
"sample","SKA-057",NA,1,"A",7,"A7"
"sample","SKA-058",NA,2,"B",7,"B7"
"sample","SKA-062",NA,3,"C",7,"C7"
"sample","SKA-063",NA,1,"D",7,"D7"
"sample","SKA-064",NA,2,"E",7,"E7"
"sample","SKA-069",NA,3,"F",7,"F7"
"sample","SKA-070",NA,1,"G",7,"G7"
"sample","SKA-071",NA,2,"H",7,"H7"
"sample","SKA-057",NA,3,"A",8,"A8"
"sample","SKA-058",NA,1,"B",8,"B8"
"sample","SKA-062",NA,2,"C",8,"C8"
"sample","SKA-063",NA,3,"D",8,"D8"
"sample","SKA-064",NA,1,"E",8,"E8"
"sample","SKA-069",NA,2,"F",8,"F8"
"sample","SKA-070",NA,3,"G",8,"G8"
"sample","SKA-071",NA,1,"H",8,"H8"
"sample","SKA-057",NA,2,"A",9,"A9"
"sample","SKA-058",NA,3,"B",9,"B9"
"sample","SKA-062",NA,1,"C",9,"C9"
"sample","SKA-063",NA,2,"D",9,"D9"
"sample","SKA-064",NA,3,"E",9,"E9"
"sample","SKA-069",NA,1,"F",9,"F9"
"sample","SKA-070",NA,2,"G",9,"G9"
"sample","SKA-071",NA,3,"H",9,"H9"
"sample","SKA-075",NA,1,"A",10,"A10"
"sample","SKA-076",NA,2,"B",10,"B10"
"sample","SKA-077",NA,3,"C",10,"C10"
"sample","SKA-078",NA,1,"D",10,"D10"
"sample","SKA-096",NA,2,"E",10,"E10"
"sample","SKA-097",NA,3,"F",10,"F10"
"sample","SKA-098",NA,1,"G",10,"G10"
"sample","SKA-099",NA,2,"H",10,"H10"
"sample","SKA-075",NA,3,"A",11,"A11"
"sample","SKA-076",NA,1,"B",11,"B11"
"sample","SKA-077",NA,2,"C",11,"C11"
"sample","SKA-078",NA,3,"D",11,"D11"
"sample","SKA-096",NA,1,"E",11,"E11"
"sample","SKA-097",NA,2,"F",11,"F11"
"sample","SKA-098",NA,3,"G",11,"G11"
"sample","SKA-099",NA,1,"H",11,"H11"
"sample","SKA-075",NA,2,"A",12,"A12"
"sample","SKA-076",NA,3,"B",12,"B12"
"sample","SKA-077",NA,1,"C",12,"C12"
"sample","SKA-078",NA,2,"D",12,"D12"
"sample","SKA-096",NA,3,"E",12,"E12"
"sample","SKA-097",NA,1,"F",12,"F12"
"sample","SKA-098",NA,2,"G",12,"G12"
"sample","SKA-099",NA,3,"H",12,"H12"
