"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A","std_1.05e+00","std_1.05e+00","std_1.05e+00","025","025","025","230","230","230","341","341","341","423","423","423","460","460","460","496","496","496","574","574","574"
"B","std_2.10e-01","std_2.10e-01","std_2.10e-01","026","026","026","231","231","231","342","342","342","424","424","424","461","461","461","497","497","497","575","575","575"
"C","std_4.20e-02","std_4.20e-02","std_4.20e-02","027","027","027","232","232","232","345","345","345","430","430","430","482","482","482","498","498","498","576","576","576"
"D","std_8.40e-03","std_8.40e-03","std_8.40e-03","028","028","028","235","235","235","351","351","351","431","431","431","483","483","483","499","499","499","577","577","577"
"E","std_1.68e-03","std_1.68e-03","std_1.68e-03","091","091","091","236","236","236","354","354","354","432","432","432","484","484","484","500","500","500","578","578","578"
"F","std_3.36e-04","std_3.36e-04","std_3.36e-04","096","096","096","241","241","241","355","355","355","433","433","433","598","598","598","501","501","501","579","579","579"
"G","std_6.72e-05","std_6.72e-05","std_6.72e-05","097","097","097","244","244","244","356","356","356","434","434","434","486","486","486","547","547","547","580","580","580"
"H","std_0.00e+00","std_0.00e+00","std_0.00e+00","098","098","098","245","245","245","357","357","357","435","435","435","487","487","487","548","548","548","585","585","585"
"I","001","001","001","099","099","099","253","253","253","358","358","358","436","436","436","488","488","488","549","549","549","586","586","586"
"J","002","002","002","113","113","113","255","255","255","359","359","359","437","437","437","489","489","489","566","566","566","587","587","587"
"K","003","003","003","114","114","114","256","256","256","360","360","360","439","439","439","490","490","490","567","567","567","588","588","588"
"L","004","004","004","115","115","115","264","264","264","363","363","363","446","446","446","491","491","491","568","568","568","589","589","589"
"M","007","007","007","118","118","118","265","265","265","364","364","364","448","448","448","492","492","492","569","569","569","590","590","590"
"N","008","008","008","227","227","227","327","327","327","365","365","365","449","449","449","493","493","493","570","570","570","595","595","595"
"O","009","009","009","228","228","228","328","328","328","421","421","421","450","450","450","494","494","494","571","571","571",NA,NA,NA
"P","010","010","010","229","229","229","329","329","329","422","422","422","459","459","459","495","495","495","573","573","573",NA,NA,NA
